time,filter,preprocess,model,epoch,test_volunteers,train_volunteers,auc,accuracy,precision,sensitivity,specificity,f1,group,sample,misinformation,missing_group,misinformation_group
2022/10/21 22:38,butterworth0.3,cv20,CNN,100,"[5, 3, 6, 15, 10, 8, 17, 12, 4, 1, 16, 13, 19, 2, 20, 9, 11, 18]","[7, 14]",0.99979,0.99622,0.94167,0.98657,0.99674,0.96359,216,31320,30,0,11
2022/10/21 22:48,butterworth0.3,cv20,CNN,100,"[6, 15, 10, 8, 17, 12, 4, 1, 16, 13, 19, 2, 20, 9, 11, 18, 7, 14]","[5, 3]",0.99851,0.99282,0.91812,0.94774,0.99531,0.9327,216,31351,87,6,15
2022/10/21 22:59,butterworth0.3,cv20,CNN,100,"[10, 8, 17, 12, 4, 1, 16, 13, 19, 2, 20, 9, 11, 18, 7, 14, 5, 3]","[6, 15]",0.99814,0.96994,0.63339,0.99277,0.9687,0.77337,216,31351,656,0,53
2022/10/21 23:09,butterworth0.3,cv20,CNN,100,"[17, 12, 4, 1, 16, 13, 19, 2, 20, 9, 11, 18, 7, 14, 5, 3, 6, 15]","[10, 8]",0.99781,0.97354,0.65755,0.99122,0.9726,0.79062,216,31349,694,0,57
2022/10/21 23:20,butterworth0.3,cv20,CNN,100,"[4, 1, 16, 13, 19, 2, 20, 9, 11, 18, 7, 14, 5, 3, 6, 15, 10, 8]","[17, 12]",0.99883,0.99271,0.88387,0.98591,0.99308,0.93211,216,31298,95,0,27
2022/10/21 23:30,butterworth0.3,cv20,CNN,100,"[16, 13, 19, 2, 20, 9, 11, 18, 7, 14, 5, 3, 6, 15, 10, 8, 17, 12]","[4, 1]",0.99964,0.99555,0.98805,0.925,0.99939,0.95549,216,31309,0,7,0
2022/10/21 23:38,butterworth0.3,cv20,CNN,100,"[19, 2, 20, 9, 11, 18, 7, 14, 5, 3, 6, 15, 10, 8, 17, 12, 4, 1]","[16, 13]",0.99917,0.99506,0.93081,0.97517,0.99613,0.95247,216,31333,97,0,17
2022/10/22 19:45,butterworth0.2,cv20,CNN,100,"[6, 15, 10, 8, 17, 12, 4, 1, 16, 13]","[19, 2, 20, 9, 11, 18, 7, 14, 5, 3]",0.99882,0.99963,1.0,0.99293,1.0,0.99645,120,17415,0,0,0
2022/10/22 21:26,butterworth0.2,cv20,CNN,100,"[19, 2, 20, 9, 11, 18, 7, 14, 5, 3]","[6, 15, 10, 8, 17, 12, 4, 1, 16, 13]",0.99997,0.99847,1.0,0.96955,1.0,0.98454,120,17396,0,2,0
2022/10/28 13:13,butterworth0.3,cv20,CNN,100,"[6, 15, 10, 8, 17, 12, 4, 1, 16, 13]","[19, 2, 20, 9, 11, 18, 7, 14, 5, 3]",0.99882,0.99872,1.0,0.97527,1.0,0.98748,120,17415,0,0,0
2022/10/28 14:56,butterworth0.3,cv20,CNN,100,"[19, 2, 20, 9, 11, 18, 7, 14, 5, 3]","[6, 15, 10, 8, 17, 12, 4, 1, 16, 13]",0.99994,0.99951,0.99634,0.99391,0.99981,0.99512,120,17396,3,0,1
2022/10/28 7:37,butterworth0.2,pca_stft,resnet50,50,"[6, 15, 10, 8, 17, 12, 4, 1, 16, 13]","[19, 2, 20, 9, 11, 18, 7, 14, 5, 3]",0.99726,0.99469,0.94406,0.95406,0.99691,0.94903,120,17415,54,0,15
